CGPA,TargetCompany,Skills,SkillMatchPct,PlacementProbability,PlacementStatus
5.6,TCS,"AWS, Pandas, Rust, Express",0.0,24.48,Low Chance
6.5,Adobe,"UI/UX, C++, Graphics, GitHub, SQL, Scrum, Java",100.0,8.02,Low Chance
7.1,Oracle,"JavaScript, AWS, Teamwork, Docker, TensorFlow",0.0,12.67,Low Chance
8.4,Microsoft,"Vue.js, Kotlin, C++, Spring Boot, SQL",20.0,22.41,Low Chance
7.1,IBM,"Data Science, NLP, AI, Leadership, Python, Cloud, Go, Node.js, Machine Learning, Teamwork, TensorFlow",100.0,94.63,High Chance
6.2,Apple,"Django, Swift, Jenkins, PostgreSQL",20.0,23.3,Low Chance
7.4,IBM,"Vue.js, Data Science, AI, Python, NumPy, Cloud, Problem Solving",100.0,100.0,High Chance
8.2,Google,"Kotlin, Jenkins, AWS, Azure, Teamwork, TensorFlow",0.0,22.31,Low Chance
7.9,Microsoft,"C++, Software Design, AWS, C#, Azure, Cloud, Agile, Jira",100.0,43.63,Low Chance
10.0,Microsoft,"C++, Software Design, C#, Azure, Cloud, NumPy, GCP",100.0,100.0,High Chance
8.2,IBM,"TypeScript, Data Science, AI, AWS, Python, Cloud, NumPy, PostgreSQL, Swift, Agile, Node.js",100.0,81.13,High Chance
9.0,Adobe,"UI/UX, Scikit-Learn, C++, Graphics, Git, Flask, Agile, Java",100.0,74.99,Medium Chance
6.9,IBM,"JavaScript, Leadership, Communication, Node.js, Data Analysis",0.0,35.78,Low Chance
6.5,Microsoft,"C++, Software Design, C#, Azure, Cloud",100.0,26.01,Low Chance
7.3,Infosys,"Machine Learning, NumPy, PostgreSQL",0.0,26.13,Low Chance
9.1,Meta,"Communication, NLP",0.0,40.02,Low Chance
6.0,Amazon,"Scalability, Leadership, AWS, Python, MySQL, SQL, Java",100.0,25.45,Low Chance
6.7,TCS,"Vue.js, JavaScript, Python, Enterprise Solutions, SQL, Swift, Java, TensorFlow",100.0,100.0,High Chance
6.4,Amazon,"Scalability, Leadership, AWS, Deep Learning, SQL, Scrum, Java, Matplotlib",100.0,20.12,Low Chance
9.6,Google,"Kotlin, AWS, Azure, PostgreSQL, MySQL, NumPy",0.0,41.14,Low Chance
6.0,Amazon,"Node.js, Angular, TensorFlow",0.0,27.29,Low Chance
5.0,Apple,"NLP, Tableau, MySQL, Angular, Agile, Docker",0.0,24.88,Low Chance
10.0,Amazon,"Java, MongoDB, Teamwork, React",20.0,40.5,Low Chance
7.7,Google,"Power BI, Algorithms, C++, GitHub, Python, Communication, SQL, Machine Learning, Data Analysis, Docker",100.0,23.88,Low Chance
9.6,Meta,"Redis, Django, JavaScript, Leadership, Python, Node.js, React, Cassandra, Social Media Tech, Express",100.0,83.34,High Chance
6.4,Infosys,"Redis, NLP, Teamwork, GitHub, Web Development, Spring Boot, SQL, Flask, Jira, Java, Node.js, Communication",100.0,29.13,Low Chance
7.4,Netflix,"Power BI, Azure, Deep Learning, Flask, Java",20.0,14.84,Low Chance
7.5,Infosys,"TypeScript, Matplotlib",0.0,35.5,Low Chance
6.3,IBM,"Cassandra, Kotlin, Data Analysis, Django",0.0,31.49,Low Chance
6.6,Netflix,"Redis, JavaScript, Leadership, Go, Jira, Data Analysis",0.0,27.06,Low Chance
7.5,IBM,"Tableau, Terraform, Machine Learning, Kubernetes",0.0,15.98,Low Chance
10.0,Netflix,"AWS, Microservices, Python, Java, Machine Learning, Teamwork",100.0,98.1,High Chance
5.8,Apple,"C++, Objective-C, Swift, Quality Assurance, Communication",100.0,27.49,Low Chance
6.3,Netflix,"Angular, Terraform, Data Analysis, PostgreSQL",0.0,5.93,Low Chance
6.7,Infosys,"Scikit-Learn, React, Go",0.0,37.53,Low Chance
9.6,Apple,"TypeScript, C++, PostgreSQL, Objective-C, Swift, Data Analysis, Quality Assurance, Communication, Docker",100.0,89.87,High Chance
8.0,Oracle,"Power BI, Database Design, Git, SQL, Computer Vision, Cassandra, Java, Cloud Architecture",100.0,79.87,High Chance
6.5,Amazon,"Terraform, Problem Solving, MySQL",0.0,21.38,Low Chance
5.0,IBM,"C++, Git, Deep Learning, PyTorch, Pandas, Java",0.0,14.86,Low Chance
5.1,Microsoft,"Power BI, Pandas, Deep Learning, Scrum",0.0,13.16,Low Chance
7.2,Infosys,"GitHub, Angular",0.0,39.61,Low Chance
7.7,Microsoft,"Kotlin, Angular, Rust, Node.js, Communication",0.0,45.31,Medium Chance
7.0,Oracle,"Tableau, Vue.js, GCP",0.0,51.68,Medium Chance
6.3,TCS,"Scikit-Learn, Git, GitHub, Rust, Communication, GCP",0.0,25.33,Low Chance
8.4,Amazon,"Vue.js, TypeScript, JavaScript, Kubernetes, Computer Vision, Angular",0.0,46.84,Medium Chance
8.1,Infosys,"C++, Deep Learning, Matplotlib",0.0,40.54,Low Chance
6.6,Apple,"NLP, Docker, Computer Vision, Flask, Scrum, Problem Solving",0.0,8.39,Low Chance
8.4,Netflix,"Vue.js, Scikit-Learn, AWS, Microservices, Python, Java, Machine Learning",100.0,83.16,High Chance
6.2,IBM,"TypeScript, Data Science, AI, Leadership, Python, Cloud, Spring Boot, Java, Terraform, Express",100.0,25.79,Low Chance
6.2,IBM,"TypeScript, Django, Data Science, NLP, AI, Python, Cloud, React, Communication, Matplotlib",100.0,9.99,Low Chance
7.5,Oracle,"Database Design, NLP, SQL, Java, Cloud Architecture",100.0,84.77,High Chance
7.2,Meta,"PyTorch, AWS, Pandas, Jira",0.0,2.99,Low Chance
6.6,Infosys,"TypeScript, Python, Express, Git",0.0,41.59,Low Chance
8.4,Infosys,"GitHub, Swift, Git",0.0,42.34,Low Chance
5.8,Meta,"JavaScript, Python, Node.js, React, Social Media Tech",100.0,26.18,Low Chance
7.4,Amazon,"PyTorch, Java, Rust",20.0,26.09,Low Chance
6.2,Oracle,"Java, Swift",25.0,25.45,Low Chance
9.4,Microsoft,"C++, Software Design, C#, Azure, Cloud",100.0,95.31,High Chance
8.2,Adobe,"C#, Angular, Problem Solving",0.0,22.91,Low Chance
8.5,Oracle,"Java, React, Express",25.0,38.32,Low Chance
8.0,Amazon,"Scalability, Git, Leadership, AWS, Go, SQL, Pandas, Cassandra, Jira, Java",100.0,81.56,High Chance
5.5,Microsoft,"Power BI, C++, Software Design, C#, Azure, Cloud, NumPy, Flask, Matplotlib",100.0,37.0,Low Chance
7.3,IBM,"Vue.js, TypeScript, Data Science, AI, Python, Cloud, Scrum, Jira",100.0,97.36,High Chance
7.3,Google,"TypeScript, Algorithms, C++, Jenkins, Git, GitHub, Python, Deep Learning, PostgreSQL, Communication, Machine Learning, Data Analysis",100.0,12.39,Low Chance
7.0,Amazon,"Scalability, Leadership, AWS, Azure, Docker, SQL, React, Java, Teamwork, GCP",100.0,32.46,Low Chance
7.0,Amazon,"Cassandra, Pandas, Docker, NumPy",0.0,20.19,Low Chance
5.0,Amazon,"Scalability, Leadership, AWS, PostgreSQL, SQL, Java",100.0,0.0,Low Chance
9.3,Meta,"Azure, Rust, Scrum, PostgreSQL",0.0,26.67,Low Chance
7.6,Infosys,"Django, C#, Python, Web Development, MySQL, SQL, Computer Vision, Flask, Cassandra, Java, Communication, Express",100.0,82.81,High Chance
8.8,Microsoft,"Swift, Git",0.0,12.97,Low Chance
7.9,IBM,"Redis, Leadership, Agile, Java, Machine Learning",0.0,30.48,Low Chance
9.7,Microsoft,"C++, Software Design, Leadership, C#, Azure, Cloud, NumPy, SQL, Swift, Computer Vision, Data Analysis, Docker",100.0,92.17,High Chance
6.8,Microsoft,"C++, Jenkins, Software Design, C#, Azure, Cloud, TensorFlow",100.0,32.44,Low Chance
6.6,Apple,"Power BI, Computer Vision",0.0,28.61,Low Chance
7.6,Amazon,"Teamwork, NumPy",0.0,30.43,Low Chance
6.2,TCS,"JavaScript, PyTorch, Enterprise Solutions, SQL, Angular, Java",100.0,35.16,Low Chance
8.7,Apple,"C++, Deep Learning, Objective-C, Swift, Pandas, Quality Assurance, Communication",100.0,98.61,High Chance
7.5,Oracle,"C++, Go",0.0,42.06,Low Chance
7.1,Google,"Spring Boot, Pandas, PostgreSQL",0.0,12.75,Low Chance
7.8,Microsoft,"C++, Software Design, C#, Azure, Cloud, Flask, Java",100.0,28.71,Low Chance
8.1,Oracle,"Database Design, Deep Learning, SQL, Swift, Java, Cloud Architecture",100.0,93.4,High Chance
6.3,Oracle,"Database Design, Redis, Scikit-Learn, GitHub, Deep Learning, MySQL, SQL, Rust, Cassandra, Java, Cloud Architecture, GCP",100.0,4.89,Low Chance
8.6,Meta,"JavaScript, Python, Node.js, React, Social Media Tech",100.0,100.0,High Chance
9.9,Oracle,"Vue.js, TypeScript, PostgreSQL, Flask, Java, Matplotlib",25.0,25.77,Low Chance
7.6,IBM,"Tableau, TensorFlow, Scrum, Git",0.0,41.41,Low Chance
7.8,TCS,"Power BI, Redis, JavaScript, Deep Learning, Spring Boot, Enterprise Solutions, SQL, Java",100.0,93.27,High Chance
5.0,Netflix,"TypeScript, AWS, Microservices, Python, Pandas, Flask, Java, Machine Learning, GCP",100.0,12.02,Low Chance
7.4,Google,"Algorithms, C++, Scikit-Learn, Teamwork, Leadership, Python, Deep Learning, Machine Learning, Data Analysis, Problem Solving, TensorFlow",100.0,37.92,Low Chance
8.2,IBM,"Jenkins, Data Science, Git, AI, Python, Cloud, Swift, Terraform",100.0,97.35,High Chance
6.5,TCS,"TypeScript, Django, JavaScript, Machine Learning, Deep Learning, Enterprise Solutions, SQL, Java, Node.js, Terraform, GCP, Express",100.0,96.75,High Chance
6.9,Google,"TypeScript, Tableau, GitHub, PostgreSQL, Jira, Matplotlib",0.0,36.19,Low Chance
8.0,Netflix,"Tableau, PyTorch, Go",0.0,50.29,Medium Chance
7.7,Apple,"SQL, TensorFlow",0.0,12.39,Low Chance
6.7,Apple,"Redis, C++, MySQL, Objective-C, Swift, Quality Assurance, Communication",100.0,14.08,Low Chance
10.0,Apple,"JavaScript, Swift",20.0,36.44,Low Chance
7.0,Microsoft,"Power BI, Kotlin, C++, Software Design, C#, Azure, Cloud, Kubernetes, Computer Vision, Cassandra",100.0,20.65,Low Chance
7.9,Google,"Cassandra, Computer Vision, MongoDB, Angular",0.0,8.77,Low Chance
7.7,TCS,"Redis, JavaScript, Enterprise Solutions, SQL, Java, Express",100.0,75.69,High Chance
9.2,Google,"Algorithms, C++, Leadership, Python, Machine Learning, Data Analysis",100.0,88.0,High Chance
6.5,Oracle,"Database Design, C++, NLP, Tableau, SQL, Scrum, Java, Cloud Architecture, Machine Learning",100.0,26.01,Low Chance
8.4,Oracle,"Power BI, Database Design, JavaScript, AWS, C#, NumPy, SQL, Scrum, Agile, Java, Cloud Architecture, Matplotlib",100.0,100.0,High Chance
6.5,Oracle,"Swift, Express, Git",0.0,19.72,Low Chance
8.1,IBM,"Data Science, AI, Python, Cloud, Scrum, Data Analysis",100.0,90.88,High Chance
9.9,Oracle,"TypeScript, Redis, Deep Learning, SQL, Jira",25.0,30.94,Low Chance
6.2,Infosys,"Kotlin, Vue.js, Angular",0.0,49.53,Medium Chance
6.7,TCS,"Kotlin, C++, JavaScript, Python, Enterprise Solutions, SQL, Pandas, Java, Data Analysis",100.0,91.98,High Chance
6.1,Meta,"TypeScript, Leadership, Deep Learning, Go, Machine Learning, Communication",0.0,15.7,Low Chance
6.0,Oracle,"Kotlin, TensorFlow",0.0,25.03,Low Chance
7.7,Meta,"JavaScript, Python, Node.js, Go, Deep Learning, React, Social Media Tech",100.0,31.69,Low Chance
9.1,Microsoft,"Agile, Pandas, NLP",0.0,38.18,Low Chance
6.9,Microsoft,"C++, Software Design, C#, Azure, Cloud",100.0,22.47,Low Chance
7.0,Meta,"TypeScript, PyTorch, Pandas, Flask, Express",0.0,27.48,Low Chance
8.6,Google,"Vue.js, Redis, Algorithms, C++, Python, Kubernetes, MySQL, Spring Boot, Flask, Machine Learning, Data Analysis",100.0,89.93,High Chance
9.0,Google,"Algorithms, C++, Scikit-Learn, GitHub, Python, Communication, Angular, Flask, Machine Learning, Data Analysis",100.0,99.43,High Chance
7.3,Netflix,"Redis, GCP",0.0,26.25,Low Chance
7.8,Amazon,"Scalability, Leadership, AWS, SQL, Swift, Java",100.0,20.28,Low Chance
7.7,TCS,"Pandas, Angular, Computer Vision, Java, Machine Learning",25.0,10.83,Low Chance
8.4,Meta,"MongoDB, Go, Docker, Pandas, GCP",0.0,44.62,Low Chance
7.1,TCS,"Computer Vision, Jira, AWS, Django",0.0,13.01,Low Chance
8.9,Google,"Redis, MySQL",0.0,41.92,Low Chance
5.0,Microsoft,"C++, Software Design, C#, Azure, Cloud, Swift, Docker",100.0,23.13,Low Chance
7.9,IBM,"Cassandra, Jira, Scikit-Learn, NLP",0.0,46.74,Medium Chance
6.5,Microsoft,"Cassandra, Power BI, Scikit-Learn, Tableau",0.0,11.91,Low Chance
8.8,Apple,"C++, Git, AWS, MySQL, Objective-C, Swift, Pandas, Cassandra, Quality Assurance, Communication",100.0,74.59,Medium Chance
9.1,Infosys,"Git, PostgreSQL, Web Development, SQL, Scrum, Java, Communication",100.0,80.67,High Chance
7.2,Oracle,"Database Design, Kotlin, AWS, C#, Express, SQL, Computer Vision, Cassandra, Java, Cloud Architecture, TensorFlow",100.0,50.67,Medium Chance
7.2,Amazon,"Computer Vision, Vue.js, Swift, Matplotlib",0.0,33.04,Low Chance
8.2,Oracle,"Database Design, TypeScript, Django, Jenkins, Kubernetes, Node.js, SQL, Java, Cloud Architecture, Machine Learning, Teamwork, Matplotlib",100.0,96.61,High Chance
7.3,Infosys,"GitHub, Web Development, SQL, Java, Communication",100.0,85.47,High Chance
7.5,Amazon,"Azure, Redis, Machine Learning, Django",0.0,22.68,Low Chance
7.3,Adobe,"UI/UX, Vue.js, C++, Graphics, Git, Deep Learning, PyTorch, Java, Machine Learning",100.0,11.44,Low Chance
8.6,IBM,"Power BI, TypeScript, Leadership, JavaScript, PostgreSQL, Jira",0.0,53.22,Medium Chance
7.8,Apple,"Power BI, C++, Objective-C, Swift, Pandas, Quality Assurance, Communication, Problem Solving",100.0,21.85,Low Chance
8.2,Amazon,"Scalability, Vue.js, Jenkins, Leadership, AWS, SQL, Java",100.0,84.82,High Chance
6.7,Meta,"Power BI, Jenkins, GitHub, Computer Vision, Terraform, Matplotlib",0.0,3.95,Low Chance
8.3,Adobe,"Agile, Cassandra, Java, Computer Vision",25.0,43.82,Low Chance
9.0,Oracle,"Spring Boot, Data Analysis, Problem Solving, MySQL",0.0,27.35,Low Chance
8.5,Infosys,"Vue.js, JavaScript, Deep Learning, Web Development, SQL, Java, Communication, GCP",100.0,89.77,High Chance
5.2,Adobe,"UI/UX, Vue.js, Redis, C++, Graphics, Go, PyTorch, Swift, Java, Terraform, Data Analysis, Express",100.0,22.64,Low Chance
6.7,IBM,"Power BI, TypeScript, Data Science, Git, AI, Python, Cloud, NumPy, Spring Boot, Computer Vision, Agile, Node.js",100.0,35.81,Low Chance
7.7,Adobe,"PyTorch, Angular, Flask, Communication, Matplotlib",0.0,32.69,Low Chance
9.0,Infosys,"MongoDB, C++, Deep Learning, SQL, React, Java",50.0,61.71,Medium Chance
6.2,Meta,"Computer Vision, NumPy",0.0,19.43,Low Chance
7.7,Oracle,"NLP, Tableau, Azure, Kubernetes, Swift",0.0,46.13,Medium Chance
8.3,Infosys,"Django, Leadership, AWS, Kubernetes, Scrum, Express",0.0,37.14,Low Chance
7.4,Meta,"Jenkins, GitHub, C#, NumPy, MySQL, React",20.0,6.36,Low Chance
9.0,Meta,"Kotlin, JavaScript, Python, Node.js, React, Agile, Social Media Tech, Terraform, GCP",100.0,89.18,High Chance
6.3,Meta,"Machine Learning, Angular, Terraform, Communication, GCP",0.0,33.13,Low Chance
6.8,Adobe,"Kotlin, Django, NLP, GitHub, Swift, Jira",0.0,24.0,Low Chance
10.0,Meta,"GitHub, Node.js, Data Analysis",20.0,41.93,Low Chance
7.2,Oracle,"Database Design, NLP, AWS, C#, Go, MySQL, SQL, Java, Cloud Architecture, Data Analysis, Problem Solving",100.0,21.11,Low Chance
8.8,IBM,"Power BI, Data Science, AI, JavaScript, Python, Cloud, Terraform",100.0,79.4,High Chance
9.3,Amazon,"React, TypeScript, Problem Solving, Matplotlib",0.0,33.62,Low Chance
7.9,Infosys,"Tableau, Azure, Problem Solving",0.0,38.38,Low Chance
7.3,Oracle,"Database Design, Redis, Django, NLP, SQL, Pandas, Jira, Java, Cloud Architecture",100.0,44.76,Low Chance
7.4,Amazon,"TensorFlow, Communication, Matplotlib",0.0,27.56,Low Chance
6.8,Apple,"Power BI, C++, Python, Deep Learning, Objective-C, Swift, Data Analysis, Cassandra, Quality Assurance, Machine Learning, Communication, Express",100.0,14.62,Low Chance
9.3,TCS,"TypeScript, C++, Jenkins, NLP, JavaScript, Enterprise Solutions, SQL, Jira, Java",100.0,86.73,High Chance
9.6,Google,"Algorithms, C++, JavaScript, Python, React, Agile, Node.js, Machine Learning, Data Analysis",100.0,86.79,High Chance
7.3,Adobe,"UI/UX, C++, Graphics, Django, C#, Python, MySQL, PyTorch, Java, Communication, Express",100.0,26.97,Low Chance
7.4,Apple,"Tableau, Leadership, Scrum",0.0,6.06,Low Chance
5.8,Google,"Agile, C#, NLP",0.0,32.22,Low Chance
8.0,IBM,"Data Science, AI, Python, Cloud, Angular, Scrum, Terraform, Express",100.0,100.0,High Chance
7.3,Netflix,"AWS, Azure",20.0,9.78,Low Chance
7.8,TCS,"JavaScript, C#, Kubernetes, Enterprise Solutions, SQL, Rust, Computer Vision, Pandas, Java, Node.js",100.0,87.52,High Chance
7.1,IBM,"Data Science, AI, GitHub, Leadership, Azure, Python, Cloud, Pandas",100.0,86.47,High Chance
6.2,Amazon,"Scalability, Leadership, AWS, NumPy, SQL, Java",100.0,9.45,Low Chance
7.0,Google,"Algorithms, C++, Python, Machine Learning, Data Analysis",100.0,19.2,Low Chance
9.7,Google,"Algorithms, C++, Python, Pandas, Machine Learning, Data Analysis, Matplotlib",100.0,100.0,High Chance
7.3,Meta,"Leadership, Scikit-Learn, NumPy, TensorFlow",0.0,38.98,Low Chance
8.7,Oracle,"Database Design, TypeScript, C++, Python, Go, SQL, Java, Cloud Architecture, TensorFlow",100.0,92.17,High Chance
6.3,Microsoft,"Kotlin, C++, Software Design, C#, Azure, Cloud",100.0,27.14,Low Chance
8.6,Infosys,"C++, Web Development, SQL, Java, Communication",100.0,79.0,High Chance
6.4,Infosys,"Redis, Git, Teamwork, Web Development, Go, SQL, React, Flask, Java, Terraform, Communication",100.0,49.98,Medium Chance
5.7,IBM,"Jira, Leadership, Problem Solving, Deep Learning",0.0,14.47,Low Chance
7.0,Google,"Pandas, Python",20.0,16.08,Low Chance
8.1,Amazon,"Power BI, Scalability, Git, Leadership, AWS, NumPy, Go, Deep Learning, Spring Boot, SQL, Java, Teamwork",100.0,82.9,High Chance
7.6,Adobe,"UI/UX, C++, Graphics, JavaScript, AWS, MySQL, Rust, Angular, Java",100.0,27.69,Low Chance
7.2,Oracle,"Database Design, MongoDB, Django, Python, Kubernetes, PostgreSQL, SQL, Pandas, Rust, Java, Cloud Architecture",100.0,24.35,Low Chance
5.3,Netflix,"Tableau, AWS, Microservices, Python, Java, Machine Learning",100.0,4.61,Low Chance
6.7,IBM,"Git, Tableau, PyTorch, Swift, Java",0.0,30.46,Low Chance
7.8,Apple,"C++, Python, Objective-C, Swift, Computer Vision, Quality Assurance, Node.js, Communication, Docker, Express",100.0,19.99,Low Chance
9.1,Apple,"NumPy, Spring Boot, Pandas, Node.js, Teamwork",0.0,23.63,Low Chance
6.1,Oracle,"Cassandra, Data Analysis, Rust",0.0,34.84,Low Chance
7.8,Meta,"JavaScript, AWS, Python, Node.js, React, Social Media Tech, Docker, Matplotlib",100.0,28.97,Low Chance
6.3,Amazon,"Power BI, Scalability, Leadership, AWS, GitHub, SQL, Swift, Cassandra, Java, Machine Learning, GCP",100.0,5.92,Low Chance
7.4,Infosys,"Rust, React",0.0,25.03,Low Chance
5.0,Adobe,"Power BI, Kotlin, Scikit-Learn, Leadership, NumPy, PyTorch",0.0,12.88,Low Chance
5.7,Oracle,"Jira, MongoDB",0.0,11.4,Low Chance
9.8,TCS,"NLP, JavaScript, NumPy, PyTorch, Enterprise Solutions, SQL, Agile, Jira, Java, Communication",100.0,90.82,High Chance
7.0,Microsoft,"Deep Learning, PostgreSQL",0.0,18.46,Low Chance
5.5,TCS,"Django, Docker",0.0,6.79,Low Chance
6.6,Adobe,"UI/UX, Redis, C++, Graphics, Git, NLP, Java, TensorFlow",100.0,9.94,Low Chance
7.4,Infosys,"NumPy, Web Development, SQL, Java, Communication",100.0,92.67,High Chance
7.4,Adobe,"UI/UX, C++, Graphics, Flask, Java, Express",100.0,21.31,Low Chance
7.6,TCS,"TypeScript, Redis, Spring Boot, SQL, Node.js, Teamwork",25.0,31.16,Low Chance
7.8,Amazon,"Scalability, MongoDB, C++, Jenkins, Leadership, AWS, Deep Learning, PyTorch, SQL, Java, Data Analysis",100.0,33.1,Low Chance
8.3,Adobe,"Azure, Terraform, Scikit-Learn",0.0,27.6,Low Chance
8.1,Netflix,"Tableau, AWS, Microservices, Python, Cassandra, Java, Machine Learning",100.0,96.88,High Chance
7.5,IBM,"Scikit-Learn, Data Science, AI, C#, Python, Cloud, Express, SQL, Pandas, Node.js, Data Analysis, TensorFlow",100.0,100.0,High Chance
6.9,Amazon,"Redis, Kubernetes, Java, Terraform, Teamwork",20.0,14.29,Low Chance
8.8,Meta,"Jenkins, JavaScript, Python, Node.js, NumPy, React, Social Media Tech",100.0,94.6,High Chance
7.4,Amazon,"C++, C#, Spring Boot, Pandas, Problem Solving",0.0,26.84,Low Chance
8.0,Infosys,"NLP, Tableau, Computer Vision, React, GCP",0.0,45.84,Medium Chance
7.6,Meta,"C++, JavaScript, Azure, Python, Node.js, React, Social Media Tech",100.0,17.45,Low Chance
7.9,TCS,"MongoDB, Jenkins, Git, JavaScript, PostgreSQL, Enterprise Solutions, SQL, React, Java",100.0,100.0,High Chance
7.5,Microsoft,"MongoDB, C++, Software Design, JavaScript, AWS, C#, Azure, Cloud, Kubernetes, Python, PostgreSQL, Java",100.0,48.09,Medium Chance
7.2,Apple,"Django, Kubernetes, Spring Boot, Swift, Node.js",20.0,1.84,Low Chance
6.3,IBM,"React, Python, Kubernetes, NLP",25.0,19.52,Low Chance
8.3,Adobe,"UI/UX, C++, Graphics, C#, NumPy, SQL, Java",100.0,100.0,High Chance
7.1,Apple,"C++, Scikit-Learn, Python, Objective-C, Swift, Quality Assurance, Node.js, Machine Learning, Communication, Express",100.0,8.65,Low Chance
9.4,TCS,"JavaScript, Kotlin, Deep Learning",25.0,38.82,Low Chance
9.1,Amazon,"Computer Vision, TypeScript, Communication, Scrum",0.0,48.32,Medium Chance
8.4,Amazon,"Scalability, TypeScript, C++, Leadership, AWS, GitHub, C#, NumPy, Deep Learning, SQL, Scrum, Java",100.0,89.8,High Chance
6.1,TCS,"Communication, Python",0.0,27.59,Low Chance
6.1,Adobe,"UI/UX, C++, Graphics, PostgreSQL, Computer Vision, Java",100.0,21.13,Low Chance
7.1,IBM,"Data Science, AI, Python, PostgreSQL, Cloud",100.0,100.0,High Chance
7.1,Adobe,"Power BI, Kubernetes",0.0,26.38,Low Chance
7.6,TCS,"MongoDB, TypeScript, JavaScript, Enterprise Solutions, SQL, Java, Machine Learning, Data Analysis",100.0,92.53,High Chance
6.8,Adobe,"UI/UX, C++, Graphics, PyTorch, Java, Machine Learning, Data Analysis",100.0,3.67,Low Chance
7.7,Oracle,"Jenkins, Computer Vision, Docker, Rust",0.0,27.07,Low Chance
8.0,Meta,"AWS, MySQL, Swift, Jira, Java",0.0,29.75,Low Chance
6.4,Microsoft,"C++, Software Design, Tableau, C#, Azure, Cloud, Go, Spring Boot, Communication",100.0,5.48,Low Chance
9.6,Google,"TypeScript, Algorithms, C++, JavaScript, Python, PyTorch, Angular, Machine Learning, Data Analysis",100.0,89.9,High Chance
7.7,Microsoft,"C++, Software Design, C#, Azure, Cloud, PostgreSQL, Python, Swift, Angular, Java",100.0,26.33,Low Chance
7.8,Meta,"JavaScript, Python, Node.js, React, Social Media Tech",100.0,42.36,Low Chance
7.2,Netflix,"AWS, Microservices, Python, Kubernetes, Java, Machine Learning",100.0,32.14,Low Chance
9.6,Microsoft,"Redis, Kubernetes",0.0,40.32,Low Chance
5.2,Microsoft,"C++, Software Design, C#, Azure, Cloud",100.0,5.08,Low Chance
8.0,Infosys,"Jenkins, Web Development, SQL, Java, Communication, Matplotlib",100.0,89.21,High Chance
7.7,IBM,"Data Science, AI, Python, Cloud, SQL, Jira",100.0,82.94,High Chance
7.5,Meta,"NLP, C#, Deep Learning, Pandas, Flask, Express",0.0,23.62,Low Chance
9.7,Apple,"TypeScript, C++, Redis, Django, Go, Objective-C, Swift, Quality Assurance, Node.js, Communication",100.0,86.53,High Chance
7.8,IBM,"Scikit-Learn, Git, Swift, Rust, Cassandra",0.0,28.24,Low Chance
7.5,TCS,"Django, C++, JavaScript, PostgreSQL, Enterprise Solutions, SQL, Pandas, Java",100.0,81.28,High Chance
6.7,IBM,"Spring Boot, Pandas, Flask, Agile, Problem Solving",0.0,35.14,Low Chance
6.9,Amazon,"MongoDB, NLP, Deep Learning, MySQL, SQL, Cassandra",20.0,5.48,Low Chance
6.7,Adobe,"JavaScript, Kubernetes, Rust, Agile, Java",25.0,18.07,Low Chance
8.3,Oracle,"Python, Angular, Data Analysis, Communication, Express",0.0,39.46,Low Chance
7.2,Adobe,"PostgreSQL, Go",0.0,12.51,Low Chance
